연령,직종,학교급,평균,중위값,p25,p75,count
52,교원,초등학교,26187745.0,26807580.0,25583995.0,27411330.0,4
52,교원,특수학교,23000862.5,28464250.0,11444000.0,29701470.0,16
52,직원,고등학교,22853618.333333332,24571200.0,17404830.0,28383090.0,36
52,직원,대학교,21966109.64088398,24684480.0,17616432.5,28146000.0,724
52,직원,법인,24987832.0,28498080.0,24076680.0,30282480.0,5
52,직원,유치원,23543040.0,23543040.0,22645920.0,24440160.0,2
52,직원,전문대학,18609707.792207792,22413600.0,9660280.0,26138760.0,77
52,직원,중학교,20999335.5,20723340.0,18150030.0,25423380.0,20
52,직원,초등학교,28110780.0,28110780.0,26301150.0,29920410.0,2
52,직원,특수학교,19103760.0,21028080.0,19502640.0,22003800.0,5
53,교원,고등학교,23879940.275229357,27353000.0,19154760.0,29870850.0,327
53,교원,대학교,11931649.692307692,9801880.0,3566670.0,19605900.0,65
53,교원,유치원,13782000.0,12247980.0,6361530.0,19668450.0,4
53,교원,전문대학,14580687.027027028,13814730.0,5000120.0,21635040.0,37
53,교원,중학교,22851749.64285714,26655420.0,11558490.0,29834760.0,112
53,교원,초등학교,28628967.5,28144280.0,27661865.0,28865520.0,8
53,교원,특수학교,24499174.48275862,28813680.0,14136200.0,31710120.0,29
53,직원,고등학교,24108978.545454547,24980400.0,21097785.0,28890120.0,55
53,직원,대학교,22091551.301886793,25086840.0,16520060.0,29196660.0,1060
53,직원,법인,26481708.57142857,28640520.0,23150280.0,29286560.0,7
53,직원,유치원,16118627.5,15633615.0,7951412.5,23800830.0,4
53,직원,전문대학,21332617.102803737,24626800.0,12674640.0,28199880.0,107
53,직원,중학교,21672923.846153848,21782685.0,18636682.5,25367190.0,26
53,직원,초등학교,27048213.333333332,24491520.0,24136160.0,28681920.0,3
53,직원,특수학교,18408320.0,20265360.0,15703470.0,21759870.0,6
54,교원,고등학교,25086306.592920355,28308720.0,20700780.0,31210860.0,678
54,교원,대학교,14999396.091954023,12916560.0,7828030.0,23011570.0,87
54,교원,유치원,12175293.636363637,9340360.0,5456880.0,18743940.0,11
54,교원,전문대학,17482635.0,14826570.0,7129177.5,27458257.5,52
54,교원,중학교,25370776.51162791,29065280.0,23267460.0,31572390.0,258
